WKT,nombre,descripción,
POINT (-77.0466454 38.9056197),Nodo 325,,
POINT (-77.0448879 38.9056565),Nodo 326,,
POINT (-77.0434917 38.9056584),Nodo 327,,
POINT (-77.0434567 38.9046387),Nodo 328,,
POINT (-77.0425341 38.9046262),Nodo 329,,
POINT (-77.0425153 38.904167),Nodo 330,,
POINT (-77.0417026 38.9046387),Nodo 331,,
POINT (-77.042289 38.9056714),Nodo 332,,
POINT (-77.0417043 38.9056672),Nodo 333,,
POINT (-77.0412242 38.905662),Nodo 334,,
POINT (-77.0410239 38.9056718),Nodo 335,,
POINT (-77.0406796 38.9047222),Nodo 336,,
POINT (-77.0405133 38.9047619),Nodo 337,,
POINT (-77.0405273 38.9058561),Nodo 338,,
POINT (-77.0403234 38.9056432),Nodo 339,,
POINT (-77.0390681 38.9056557),Nodo 340,,
POINT (-77.0385237 38.9056369),Nodo 341,,
POINT (-77.0385168 38.905141),Nodo 342,,
POINT (-77.0385248 38.9047424),Nodo 343,,
POINT (-77.0384819 38.9047215),Nodo 344,,
POINT (-77.036575 38.9047078),Nodo 345,,
POINT (-77.0371651 38.9056762),Nodo 346,,
POINT (-77.0365952 38.9056418),Nodo 347,,
POINT (-77.0364664 38.9056543),Nodo 348,,
POINT (-77.0345779 38.9056459),Nodo 349,,
POINT (-77.0345655 38.9047005),Nodo 350,,
POINT (-77.0326557 38.9044333),Nodo 351,,
POINT (-77.0355337 38.9037328),Nodo 352,,
POINT (-77.0324597 38.9056412),Nodo 353,,
POINT (-77.0322504 38.9053657),Nodo 354,,
POINT (-77.0323738 38.9049733),Nodo 355,,
POINT (-77.0320681 38.9050276),Nodo 356,,
POINT (-77.0319071 38.9050944),Nodo 357,,
POINT (-77.031708 38.9053631),Nodo 358,,
POINT (-77.0318722 38.9043753),Nodo 359,,
POINT (-77.0319702 38.9042626),Nodo 360,,
POINT (-77.0319816 38.9041312),Nodo 361,,
POINT (-77.0327085 38.9043305),Nodo 362,,
POINT (-77.0315053 38.9056204),Nodo 363,,
POINT (-77.0315023 38.9056627),Nodo 364,,
POINT (-77.0305319 38.9050541),Nodo 365,,
POINT (-77.0299309 38.9048909),Nodo 366,,
POINT (-77.0299188 38.9050015),Nodo 367,,
POINT (-77.0296122 38.9048854),Nodo 368,,
POINT (-77.0296128 38.9047957),Nodo 369,,
POINT (-77.0280859 38.9043088),Nodo 370,,
